,Date,Time,Location,Sub-location,Lat,Long
915,2021-01-13,1355h - 1425h,Eastpoint Mall (3 Simei Street 6),Fairprice,1.34270592355576,103.953024618234
916,2021-01-12,1905h - 2210h,Marina One The Heart (5 Straits View),Wakanui Grill Dining Singapore,1.27737235072298,103.852844801266
917,2021-01-12,1305h - 1335h,Downtown East (1 Pasir Ris Close),Fairprice,1.37595122154029,103.955598940037
918,2021-01-12,1730h - 2200h,Heartbeat @ Bedok (11 Bedok North Street 1),Buddy Hoagies Steak & Grill Restaurant,1.32662388643563,103.931806159881
919,2021-01-12,2025h - 2130h,Bedok Mall (311 New Upper Changi Road),,1.32475054237912,103.92918919889
920,2021-01-12,1230h - 1300h,Downtown East (1 Pasir Ris Close),Market Square @ Downtown East,1.37595122154029,103.955598940037
921,2021-01-12,1905h - 1950h,Paya Lebar Square (60 Paya Lebar Road),Cantine,1.31881486980278,103.892580778242
922,2021-01-11,1140h - 1340h,Tampines 1 (10 Tampines Central 1),Isteaks,1.35420430432819,103.945051968029
923,2021-01-11,1425h - 1525h,Century Square (2 Tampines Central 5),Prime Food & Grocer Supermarket,1.35229139706407,103.943849611798
924,2021-01-11,1345h - 1420h,Tampines Mall (4 Tampines Central 5),Isetan,1.35250468330971,103.944682574769
925,2021-01-11,1800h - 2100h,White Sands (1 Pasir Ris Central Street 3),Penang Culture,1.37228761596577,103.949733905672
926,2021-01-10,2130h - 2210h,Westgate (3 Gateway Drive),Anjappar,1.33402529563803,103.74258601168
927,2021-01-10,1015h - 1115h ,Tradehub 21 (18 Boon Lay Way),Great Shepherd Assembly,1.32824702800421,103.753599992366
928,2021-01-10,2015h - 2045h,Pasir Ris Central Hawker Centre (110 Pasir Ris Central),,1.37347252064326,103.951571342467
929,2021-01-08,1640h - 1710h,Tampines Mall (4 Tampines Central 5),,1.35250468330971,103.944682574769
930,2021-01-08,1130h - 1200h,Vivocity (1 Harbourfront Walk),Tsuta Japanese Soba Noodles,1.26431382492761,103.82207343835
931,2021-01-08,1900h - 2245h,Shinnsato Japanese Cuisine (79 Kampong Bahru Road),,1.27626290288488,103.835665438292
932,2021-01-08,1715h - 1745h,Century Square (2 Tampines Central 5),,1.35229139706407,103.943849611798
933,2021-01-08,1110h - 1425h,Vivocity (1 Harbourfront Walk),,1.26431382492761,103.82207343835
934,2021-01-08,1430h - 1530h,Eastpoint Mall (3 Simei Street 6),Smiling Happi Feet Reflexology,1.34270592355576,103.953024618234
935,2021-01-08,1150h - 1250h,Singpost Centre (10 Eunos Road),Kaffe & Toast,1.31893132637472,103.894482925602
936,2021-01-08,1815h - 1945h,Old Lai Huat Seafood Restaurant (223 Rangoon Road),,1.31782390941569,103.852225092717
937,2021-01-07,1135h - 1235h,Singapore Swimming Club (45 Tanjong Rhu Road),The Palms,1.29671581399761,103.881703294751
938,2021-01-06,1950h - 2155h,Raffles City Shopping Centre (252 North Bridge Road),Shahi Maharani Noth Indian Restaurant,1.29376028134073,103.852768324281
939,2021-01-06,1235h - 1335h,E!Hub @ Downtown East (1 Pasir Ris Close),Yam'S Kitchen,1.37595122154029,103.955598940037
940,2021-01-05,1530h - 1700h,Raffles City Shopping Centre (252 North Bridge Road),Toast Box,1.29376028134073,103.852768324281
941,2021-01-05,1440h - 1530h,Citylink Mall (1 Raffles Link),,1.2927777312893,103.854173501417
942,2021-01-05,1830h - 1915h,Compass One (1 Sengkang Square),Boon Tong Kee,1.39205314156706,103.89507054384
943,2021-01-05,1320h - 1350h,Downtown East (1 Pasir Ris Close),Market Square @ Downtown East,1.37595122154029,103.955598940037
944,2021-01-04,1600h - 1800h,Eastpoint Mall (3 Simei Street 6),,1.34270592355576,103.953024618234
